ControlID,Framework,ControlName,ControlDescription,VulnerableState,RemediatedState,EvidenceArtifact
LLM06,OWASP LLM Top 10,Sensitive Information Disclosure,LLM applications may inadvertently reveal confidential data through responses,RAG retrieves and summarizes any document regardless of user clearance — payroll and credentials exposed to Public-clearance user,Pre-retrieval clearance filter blocks sensitive documents before LLM context is built — LLM never sees unauthorized content,rag_secure.py: user_can_access() filter + refusal logic
LLM01,OWASP LLM Top 10,Prompt Injection,Attackers manipulate LLM prompts to override instructions or extract data,No input validation — user query sent directly to retrieval and LLM without sanitization,System prompt separation and context isolation — user input never mixed with system instructions,rag_secure.py: separate system prompt construction
LLM02,OWASP LLM Top 10,Insecure Output Handling,LLM outputs passed downstream without validation enabling data leakage,LLM response returned directly with no output filtering — sensitive data printed verbatim,Redaction applied to boundary-level documents before LLM context — amounts and IDs masked,rag_secure.py: redact() function
GOVERN-1,NIST AI RMF,Govern — Policies and Accountability,Organizational policies define roles responsibilities and accountability for AI risk,No access policy enforced — all users treated as equally trusted regardless of role,Sensitivity labels and clearance levels defined and enforced — every access decision tied to user role,documents.py: USERS + CLEARANCE_LEVELS
MAP-3,NIST AI RMF,Map — AI Risk Identification,Identify and document risks associated with AI system context and use,Oversharing risk not identified or mitigated — system designed with no data classification awareness,Risk identified and mapped: LLM06 oversharing reproduced in baseline then mitigated in remediated state,rag_vulnerable.py baseline + rag_secure.py remediation
MEASURE-2,NIST AI RMF,Measure — Risk Monitoring and Metrics,Monitor AI system behavior and measure risk indicators over time,No logging — zero visibility into what documents were retrieved or what the LLM responded,Full audit log captures timestamp / user / clearance / query / decision / blocked docs / LLM response,audit_log.jsonl + show_audit_log.py
MANAGE-1,NIST AI RMF,Manage — Risk Response,Implement controls to treat identified AI risks to acceptable levels,No controls implemented — vulnerable by design,Three controls layered: pre-retrieval filter + boundary redaction + hard refusal when no cleared docs available,rag_secure.py: full remediated pipeline
AML-T0048,MITRE ATLAS,LLM Data Disclosure,Adversary queries an LLM to extract sensitive training or retrieval data,External contractor (Dave) retrieves Highly Confidential payroll and credential documents via semantic query,Pre-retrieval filter prevents any document above user clearance from entering LLM context — attack surface eliminated,rag_secure.py: clearance filtering before retrieval
AML-T0051,MITRE ATLAS,LLM Prompt Injection via RAG,Adversary manipulates retrieval to surface unauthorized documents through crafted queries,No query sanitization — adversary can craft queries to semantically target sensitive documents,Clearance check applied post-retrieval regardless of query content — even targeted queries blocked if user lacks clearance,rag_secure.py: post-retrieval clearance enforcement
6.1,ISO 42001,AI Risk Assessment,Organizations shall identify and assess risks associated with AI systems throughout lifecycle,No risk assessment performed — system deployed without considering data sensitivity or user trust levels,Risks identified at design time: sensitivity labels assigned to all documents clearance levels assigned to all users,documents.py: sensitivity + clearance design
6.2,ISO 42001,AI Risk Treatment,Organizations shall implement controls to treat identified AI risks,No risk treatment — vulnerable baseline represents untreated risk,Three-layer control implemented: access filter + redaction + refusal. Audit log provides evidence of control operation,rag_secure.py + audit_log.jsonl
8.4,ISO 42001,AI System Logging and Monitoring,Organizations shall implement logging to support accountability and traceability of AI decisions,No logging in vulnerable system — no audit trail of queries responses or access decisions,Every query logged with full context: user clearance query decision blocked/cleared docs and LLM response,audit_log.jsonl
